x,y
625,817
627,983
34,791
1904,1544
1456,502
276,1041
480,779
1143,1790
1962,990
186,1337
867,92
1704,1130
155,1899
186,1902
1916,1361
725,328
1932,705
1959,1364
1196,1703
1043,55
1768,1612
590,58
1988,268
1660,1506
1476,1243
1301,282
1565,391
1961,693
1058,1136
1277,964
1430,323
681,544
1472,631
1059,301
130,54
612,1039
126,15
1677,1481
1494,1651
1199,1867
348,749
766,1334
342,1134
1340,1661
1653,118
5,1874
984,1995
1732,683
1693,1276
54,1792
1237,601
1724,874
740,1054
1315,1480
1726,665
1796,1150
1740,1420
1743,371
278,555
1184,1281
1054,1899
129,466
614,48
1336,1029
170,167
95,683
1068,1391
1268,1702
641,1240
436,324
947,876
734,1021
1422,484
1448,793
1946,1010
1193,899
242,1925
1129,1273
1777,1240
1659,1750
471,43
1831,1405
1594,647
1477,692
1557,1985
177,1988
695,1633
1854,487
28,1550
1060,637
1534,242
665,1448
281,1805
278,1075
526,421
1793,1113
407,1309
1702,134
0,1247
1906,1300
562,983
988,750
1708,84
521,1815
284,1098
1752,1802
1253,1274
303,1937
1045,1277
27,902
1692,1898
1397,1525
118,1676
59,1094
1984,614
263,222
1640,797
976,622
1486,382
345,1611
185,102
326,1747
1185,322
1963,260
213,1784
431,597
554,1185
1898,753
1463,1318
1549,1986
679,858
1661,806
1451,561
256,786
1388,1058
91,530
1330,766
500,795
761,158
32,904
90,749
1751,1197
1547,813
40,1871
1469,568
1318,1777
316,527
1867,1320
1634,1188
206,1483
810,1406
3,179
419,1429
57,645
1168,1724
1636,1323
1980,99
1818,1363
1559,79
1336,1606
120,1549
119,1434
549,1319
73,608
162,425
1429,1724
492,1305
1358,169
1488,1947
160,225
1048,794
1261,1343
27,1752
978,1124
1392,29
640,963
1724,30
1507,999
1531,1010
1383,558
982,1127
890,985
178,1597
828,1468
1300,1900
892,1423
1905,707
151,1876
622,1668
742,878
1566,530
1335,1058
1598,528
1444,1228
1588,179
153,474
1763,862
1909,265
705,1201
1962,753
1264,723
1099,623
1535,1251
442,289
1640,165
1465,1043
1158,1000
1599,1834
878,1532
91,1782
515,1047
875,1098
1053,40
385,1955
1515,1721
1108,1189
253,537
498,1843
902,827
880,1101
475,1165
1523,183
1009,1914
243,530
1683,1092
1212,1349
1929,431
1722,961
861,1978
797,1456
944,1001
1940,1685
222,332
1374,179
1391,921
1061,466
1394,200
873,1249
401,1316
1685,751
779,1637
1057,54
914,693
1422,1143
1671,339
551,105
1785,923
1152,491
1882,1143
570,1100
553,1277
1274,1071
498,1770
274,951
1276,1003
547,1537
248,1004
1642,583
1927,1489
917,1156
319,1372
893,1
160,1012
1981,1492
182,992
981,976
283,226
779,1490
3,1553
1494,95
1008,370
848,565
1999,342
1787,1194
522,161
451,1382
1411,128
864,310
1599,1168
1822,1680
338,1262
1218,781
1087,269
1651,925
76,293
938,19
653,64
321,571
1630,0
342,1457
1054,356
1141,912
280,1880
233,463
618,724
929,1635
1705,1659
1800,363
1184,1913
932,1553
148,911
977,348
103,1199
806,1564
1315,29
1891,832
1292,318
388,1136
921,1873
1808,355
1774,48
1779,390
1977,84
1181,76
825,711
1195,1571
75,1480
739,794
1300,1891
936,484
1647,1929
441,1368
1073,804
11,690
1616,766
1316,372
1592,512
1773,1943
1332,1771
1165,972
1261,1182
485,39
1858,1154
1566,895
1987,336
438,598
628,96
1532,1538
1085,471
806,1386
959,265
218,1060
1242,60
704,1678
1379,489
1607,1994
600,1028
897,1592
607,1066
36,878
36,1121
1370,1487
469,1862
658,563
1505,1215
1114,828
684,1290
431,528
68,1031
1562,1643
1322,1371
591,971
1356,1257
216,1157
1651,995
760,687
225,697
423,1090
252,1268
280,944
844,831
707,181
887,306
670,1560
244,1278
1095,584
1777,991
796,1579
61,1540
817,799
1980,1941
235,391
398,1241
910,105
1133,531
314,1787
1061,1581
989,188
1984,318
1235,1523
409,1215
1976,940
1528,1024
1456,1497
620,665
1106,1236
1120,82
984,1892
542,592
1781,629
1191,1918
1681,576
490,486
603,1994
1466,189
1547,388
775,150
540,1264
55,1836
1567,763
600,1943
1912,1003
188,204
848,1788
1903,601
826,1082
725,865
637,1666
88,1502
1467,1912
1581,990
1016,213
1612,1518
205,1513
1803,1334
1934,666
250,731
1645,1237
1356,351
639,1900
1197,1951
1034,1898
210,320
1177,261
372,570
928,1066
1223,1729
1860,259
879,1874
1085,1149
529,1257
1803,612
1614,1644
548,485
1272,1121
1207,1043
1600,864
614,1318
1898,592
899,1356
1017,1179
205,1939
1742,118
398,785
42,1705
703,705
1473,670
218,109
821,113
1609,981
441,1726
1070,745
861,1517
321,1109
50,812
1597,656
865,103
278,809
687,1876
835,1369
218,1609
1022,552
1924,785
876,323
1418,885
488,311
1437,1097
103,561
801,201
1587,1456
424,209
705,109
1052,153
148,1825
440,980
1804,326
1143,301
1577,1484
1664,1038
561,1110
1978,523
317,1299
1522,570
1957,1237
1130,1999
7,1729
479,1250
616,1767
1125,340
291,642
946,779
1968,1031
1442,431
221,68
1833,160
903,1027
467,935
1435,625
182,84
1182,992
833,1126
150,1370
1954,291
396,631
387,1593
1769,612
1541,535
1161,1027
678,586
145,1458
1383,1150
343,1084
1440,754
1550,1668
1299,1586
72,999
898,1512
122,1256
1021,1009
1111,13
572,208
1486,1230
242,75
885,258
135,1045
1738,706
325,1170
1580,1983
651,251
182,1408
1151,1829
1474,1387
1204,1294
883,1057
1370,183
557,1173
788,1294
613,253
1584,1601
1880,82
1553,86
1161,779
287,638
1839,133
1221,574
1302,1049
1275,182
581,1454
254,943
1411,1764
366,865
1705,1251
705,1400
33,1527
1955,1310
1997,1932
441,1245
1422,96
1408,1886
1279,1257
1314,1773
1915,1696
759,523
1156,1288
1957,181
317,1805
872,1396
1840,327
845,1459
1939,1871
489,1858
1370,643
263,1062
249,1639
1706,989
327,1088
73,811
572,1279
1042,420
1448,918
1840,1596
1113,1906
1089,378
1455,1634
1431,326
789,55
364,9
514,1640
1740,1264
1418,1842
1386,1212
733,1265
208,137
713,777
780,99
1780,832
1153,461
18,528
1891,796
691,940
1459,577
1382,428
1036,1268
736,1507
1322,1658
1562,1228
1230,869
1342,328
223,1337
8,1457
583,1625
1250,1988
517,1774
439,1251
1544,921
1302,630
1454,839
1439,1306
990,438
1043,813
542,193
730,1892
1920,1322
43,173
1424,1908
76,797
493,1155
1301,793
850,1676
1430,1777
52,295
1016,1469
757,869
1781,815
927,1692
578,1174
766,576
1690,466
837,920
111,1274
620,726
468,522
1201,307
1455,1860
573,724
929,1687
1402,504
394,1575
61,439
1396,282
650,1378
976,1963
850,956
1811,1415
913,1630
1403,781
1507,848
628,955
1888,1437
1635,1179
1987,272
1600,1645
1274,1480
450,1042
1437,354
714,402
1332,1053
1140,516
1807,283
280,1163
563,123
1760,988
735,1519
1311,872
549,399
392,1917
436,1249
640,1739
668,1813
6,1104
1297,1513
1358,1734
571,1812
449,1389
239,384
254,1229
720,1472
884,432
583,533
1884,1021
958,732
1276,551
1682,1045
1844,981
735,538
617,721
1387,547
336,1023
1495,808
822,1896
577,711
642,690
1655,1145
910,965
1645,768
1941,1851
1554,372
1205,206
1060,1120
510,851
1690,1780
1299,689
1506,1004
411,1839
494,1050
312,1547
1579,340
888,1891
1623,1941
1817,22
1889,504
218,1781
1115,777
805,266
1436,157
1347,1662
948,19
293,1415
277,1916
707,141
70,1490
1575,740
600,1345
1142,1997
1603,338
1013,1511
1370,236
794,548
424,216
1623,1322
600,1951
1835,98
1674,171
278,8
1315,1629
301,727
825,1264
721,507
302,1527
1635,929
1275,76
1145,625
1120,1192
901,1093
1947,1493
13,1171
1271,892
1909,422
312,754
187,741
1048,255
994,153
288,1456
1606,1991
896,598
430,1125
1174,1269
911,442
1456,1415
1857,877
1850,1772
767,369
1013,272
1733,1354
1377,292
245,1369
1535,16
1189,1335
1435,229
613,1864
1158,35
1252,1273
670,1682
1840,783
1097,1864
1196,1755
1752,1009
518,1422
1614,1825
1124,46
1763,1304
680,299
1775,829
461,1804
782,1638
1192,888
428,104
785,1739
1256,1945
1199,1510
1077,228
1553,803
596,56
999,879
1122,1161
374,1010
1068,240
473,1831
1768,59
1259,747
739,1698
647,1982
798,1588
1587,152
1673,1725
731,180
443,50
331,223
541,903
56,628
1433,1853
1516,365
424,1776
1303,1242
1626,1806
836,160
883,434
1336,1182
1576,1376
474,778
465,140
1896,469
1573,1955
1756,1076
1030,86
98,1963
904,1509
388,759
90,407
468,1640
838,118
549,1848
433,1829
1896,1498
503,399
1291,1997
1162,233
333,972
1141,1769
419,260
596,217
380,325
22,1320
1321,1979
1484,1355
1562,861
45,1678
1120,1062
317,1200
1978,672
538,750
670,675
748,196
1879,1555
862,1543
1528,677
23,321
149,119
437,306
935,1316
383,1576
1372,1712
243,1465
415,140
1265,1012
149,1734
1852,246
743,1653
1914,223
1866,351
752,19
474,750
1996,1178
246,1590
710,1846
1445,204
1767,1398
1990,647
231,1623
1913,604
705,905
1574,1354
896,1641
1939,601
15,375
824,1465
402,1628
1432,1497
820,219
1590,591
82,1545
238,90
1919,1914
1640,1225
679,578
394,451
1773,886
690,194
1169,219
958,1497
832,936
1682,971
1730,1750
40,1216
449,313
822,1967
1902,71
647,223
649,1536
1012,69
1995,1216
175,1715
161,857
822,1036
157,444
206,411
1380,1764
248,797
33,383
1905,318
1895,235
1932,275
630,887
966,889
213,1944
641,1304
793,19
1150,1887
318,1065
1949,1008
262,579
1822,246
483,1613
186,1189
250,1278
1316,1772
367,783
712,416
1633,1416
1757,1850
414,1794
1267,364
1980,906
614,144
30,898
1627,1355
618,1760
538,720
1974,330
419,642
75,757
1802,1972
1068,1268
1872,1265
1920,861
920,1806
1754,502
1690,880
695,1720
1757,1613
1018,1280
207,1152
16,1831
1629,680
554,310
1561,127
1394,653
835,97
1065,351
1342,1434
1697,894
1369,1754
1699,1201
342,643
1754,908
335,1257
1287,1686
975,651
780,1930
1490,1490
769,1028
1939,1189
319,1686
1451,110
783,1457
1216,1402
105,569
1118,1475
1983,618
1218,1904
1431,306
1874,1691
645,829
1633,610
1745,268
1494,1153
1145,1247
1632,1286
1399,347
954,1480
1909,1989
944,1915
1251,1415
816,1999
356,954
371,500
862,874
1232,1442
18,1881
826,1165
429,1793
1919,945
1365,245
1441,1980
575,741
1876,912
1805,394
1630,173
68,1235
467,762
1457,403
1897,431
1317,1012
130,1215
1769,1219
1511,1585
483,760
1625,1222
1561,1010
1887,524
533,1889
1741,79
554,531
959,1002
1374,414
1036,676
1929,945
1488,1621
105,1076
700,939
1860,341
811,1991
1646,1723
1164,1359
929,237
1481,596
350,425
1090,613
1625,1069
1047,1586
324,443
1362,1975
241,1772
1412,202
997,127
500,1647
1486,1886
244,772
85,550
684,490
1737,1902
1269,1858
1133,314
1430,1973
770,756
770,463
1366,1098
159,418
417,219
1714,407
1313,1462
148,1727
546,1503
1205,679
740,1105
932,248
328,441
954,919
1713,1811
467,1101
167,1988
853,796
1774,721
498,58
71,620
1510,1442
1126,1894
1812,352
1173,1351
1154,1815
823,912
1838,1539
1230,1617
969,1110
795,77
142,107
792,16
888,559
1261,1886
287,684
1083,287
1263,1110
249,308
900,652
104,136
807,1531
770,876
685,306
1933,736
462,34
1784,196
344,1485
1880,806
1800,932
1029,706
1701,1054
1469,1936
1536,1836
719,859
1872,604
263,756
722,1550
1290,189
165,62
1513,1219
1695,200
92,1451
631,173
1025,1187
1342,1380
1322,1475
1192,1429
1089,1061
1479,368
1239,623
496,1360
1968,982
692,1139
1381,1102
1912,1482
870,501
391,145
1013,737
628,804
744,1005
1532,1224
98,607
1179,199
766,1139
1301,1675
1467,1048
1849,349
1665,1172
438,14
267,599
1298,912
1024,585
1147,1290
157,317
865,1933
877,634
407,19
1526,1027
1486,1116
885,538
1085,530
55,783
1976,648
1551,624
1490,907
1996,1552
841,1198
698,248
1849,1111
1585,588
956,229
796,1167
595,1042
250,1177
477,142
697,1206
745,1976
1757,603
1230,1726
0,787
586,100
958,1651
92,504
282,244
1963,553
764,479
1758,1468
1368,504
1252,668
1641,440
1858,530
154,1500
1642,1127
591,34
1610,945
1774,17
1924,1519
1019,384
1386,508
1325,755
1965,1129
705,189
1891,381
1069,770
1851,1073
372,1877
1592,1108
277,465
138,1847
1317,1932
994,410
209,1272
1310,414
1609,1575
1831,125
232,1144
1197,923
1958,1257
576,1982
811,1111
879,586
1633,900
73,168
1972,1161
391,699
789,1633
267,1299
1607,1538
307,1877
1355,1096
162,357
313,542
576,1462
766,1399
135,485
1577,1583
1121,1529
794,1585
1132,465
782,1680
1870,869
1978,113
957,1026
1940,1253
1652,1922
700,120
159,135
396,1490
1996,1432
852,1968
1070,1720
123,138
1365,551
938,1440
1289,53
263,1112
627,265
1882,486
715,1442
649,987
1585,1633
1714,1382
645,1511
496,1125
941,1543
129,1966
1720,1554
1259,243
740,279
1551,100
931,947
1915,1538
1081,560
1453,642
315,1347
282,25
1123,1548
1497,670
845,1131
1303,216
1915,539
546,230
234,1084
1773,946
1943,818
1320,1714
1350,1109
997,1629
758,496
1511,1471
227,1271
801,1917
1810,1111
895,1643
1324,45
1410,1927
36,939
745,150
786,1127
974,1695
222,1056
1328,1043
190,1484
1328,494
1672,1965
1935,771
701,467
22,651
387,351
395,1907
1120,998
1583,856
342,1857
1288,856
1932,401
1061,498
996,1126
1998,28
1532,762
272,1253
935,926
996,833
975,867
1029,103
466,288
153,1432
1260,518
206,395
1765,67
1579,432
272,427
395,1498
1798,1793
1534,16
1320,629
975,1962
558,1070
1665,693
452,100
89,275
1090,986
313,1810
545,1597
1365,1180
1824,1026
424,1343
1296,1904
1879,540
712,119
972,1571
145,428
1856,952
778,638
1786,1917
1482,1376
1690,1520
1014,1813
527,283
1064,493
418,1043
1717,1718
997,876
1668,1662
1528,1646
197,394
1645,1761
383,1337
1559,574
1472,1744
1232,1331
1132,525
1590,1177
2,510
1240,1525
1450,1272
1640,151
1175,900
1496,1848
587,1159
229,4
1097,1795
86,814
1770,880
270,657
17,964
1972,1384
396,1030
1438,1553
434,1791
1129,424
1624,795
1977,1241
328,201
707,965
937,1362
1021,1551
1692,1841
234,662
1545,1
1659,872
1572,790
389,1897
21,457
1256,1678
1284,1276
816,1425
1311,1770
632,1984
764,128
775,361
975,1087
1165,161
599,1892
104,359
1146,397
1732,394
415,1199
179,1265
498,1302
1215,1838
340,1979
1001,596
1663,1399
1017,1952
1213,480
564,502
370,1017
1613,1453
1224,1621
230,1671
1845,580
885,129
1529,1768
972,258
1047,387
1848,1833
1350,877
1585,1557
1031,1401
590,810
170,352
186,294
1355,233
1145,883
294,301
786,1894
1998,308
1588,1613
311,1370
932,969
1331,1626
1126,1297
1277,45
735,365
1841,1344
1421,258
1097,1312
966,1785
1899,1194
206,1731
1008,1139
1173,395
615,300
1723,1602
283,1324
989,251
292,1273
1888,1082
1838,1271
828,903
34,611
1558,999
1648,1154
1112,1889
1164,1304
472,1545
579,831
1558,1520
272,582
1967,462
1485,1066
1035,980
851,738
1610,728
762,1867
432,1663
1288,1825
88,1357
1538,1632
342,1877
1550,969
226,299
1967,1886
233,834
1265,1765
1274,1878
1320,682
443,153
1035,1559
1765,1729
101,1875
1123,809
1966,1859
1998,322
597,875
869,945
685,1949
1419,1014
70,1801
1460,1899
1372,1866
1660,712
1113,819
959,536
699,1656
909,865
839,1440
1777,459
176,1029
1851,1329
101,1102
1171,1256
1026,914
675,1480
739,151
807,1554
1392,862
738,216
282,327
1985,1701
1816,19
318,871
1780,162
1100,790
1540,738
833,50
142,758
800,1979
1146,1531
1533,243
882,1361
1634,1849
1250,656
1685,1236
331,128
509,352
428,335
998,820
1228,133
672,1807
151,420
1782,1337
1165,1057
241,1088
389,571
1446,1996
1050,1971
1861,1821
171,928
820,1112
543,644
1367,514
695,354
1125,1555
1643,1937
1059,923
1849,1873
1152,38
838,1540
1645,1161
439,1418
592,630
1631,562
279,405
1586,1269
592,1954
95,917
1724,697
343,528
1312,1881
571,1764
856,300
846,1947
602,1973
1414,108
229,1598
1131,88
684,13
778,1700
1259,1150
595,1459
1346,159
1314,1457
1466,36
62,214
1139,591
890,513
838,4
1464,553
314,1472
28,1180
254,454
496,743
1630,371
521,1784
553,1771
1234,434
1781,1219
1101,1851
1015,1766
1840,925
1185,386
264,699
972,1727
156,54
1432,1344
347,1797
1471,1224
154,238
856,1305
656,456
98,1920
1748,697
657,1120
10,1957
362,707
1062,1505
442,1621
1574,1820
195,453
221,1046
775,1986
1309,376
582,430
695,290
1078,1016
1617,827
374,961
960,1132
1775,1327
154,1161
210,239
1417,356
1977,1382
1259,25
1921,1392
1040,1852
486,1016
1006,1727
1159,894
1234,1810
309,745
1034,1299
547,1146
1239,1442
831,735
1830,1755
559,440
19,15
234,748
530,897
1352,1779
12,1374
504,1721
31,1166
646,1219
1588,718
182,1013
1338,1693
1321,1625
865,373
290,1860
293,1947
1090,97
1939,985
12,1242
1524,1544
1481,1834
1605,1865
777,409
137,1573
1318,1095
1767,23
129,332
1795,1176
1894,512
1485,1249
668,1387
1804,1651
1931,1651
367,962
924,996
374,367
1153,1473
1542,1032
714,963
1763,206
245,1778
533,1465
265,168
1999,9
356,747
1181,736
215,140
1789,1113
1798,1451
1298,609
525,1532
951,57
598,1803
489,1518
736,403
1209,1555
621,657
537,334
1710,165
418,486
1704,1805
1853,1046
426,1872
1210,573
181,237
1437,816
1999,1677
1812,618
1322,1627
808,670
1915,878
1286,1412
1719,604
486,1658
735,521
661,1440
24,647
1281,1321
1161,350
1371,1705
1174,1267
603,1226
1671,219
258,1611
1517,976
1296,622
548,1844
1839,585
1876,165
1658,1431
192,990
1795,178
259,1792
476,149
775,967
1272,740
822,1374
220,1064
1175,588
785,1704
381,1221
628,817
232,483
951,1745
1436,847
203,1426
207,1219
289,1173
1379,810
694,1830
959,1812
445,677
1924,113
92,913
1611,869
1123,1092
1419,1219
1923,1042
821,474
1624,1132
210,1323
958,787
1152,1586
1688,1742
1653,860
354,1045
1146,397
981,1727
1576,37
1384,690
1168,900
1629,1510
1631,315
407,811
208,1218
155,160
598,31
736,740
1063,1785
534,371
7,796
109,1886
1984,1854
1881,531
1580,90
87,54
1572,773
44,986
1321,960
751,101
660,226
1952,1690
603,56
738,338
1713,1741
1290,1927
1002,1814
1127,1661
1475,1712
392,786
1838,1684
914,706
1084,894
1098,501
1775,1406
363,486
611,168
1177,1265
629,1024
1629,989
1788,1333
221,1343
1979,1624
1030,1403
1323,1064
842,1826
534,1987
956,1028
1221,209
1475,1977
485,306
1838,1514
1099,1737
228,39
1363,1695
1345,942
327,1032
516,1255
1837,584
1820,539
1198,905
103,21
1523,1276
1644,1895
1532,982
632,1777
1136,1951
1663,1212
1374,1134
1917,1418
1986,1295
410,1590
1024,49
1521,1826
1507,47
485,108
858,1701
1646,1437
1173,1433
187,1930
627,1021
701,1272
703,1393
1486,394
1593,461
341,25
1598,1925
1935,1082
1128,369
982,1531
1741,65
108,977
1690,1041
741,551
466,1259
1105,1516
791,1552
822,589
1113,1505
1462,286
448,1348
797,70
1648,1138
1434,1762
1159,1614
1759,1994
1433,1648
912,337
261,370
1303,829
786,202
854,160
664,1985
882,180
80,960
1417,52
785,516
1446,472
548,1285
1103,937
1733,28
1767,1500
384,691
198,1629
1484,1481
262,237
1102,1552
312,561
721,1009
216,1594
260,1072
1631,819
1540,581
1066,529
1107,1609
442,113
23,362
231,71
221,1232
1013,65
354,91
1684,1737
1724,1121
1238,1742
1462,1984
1580,394
335,367
222,1743
86,1935
1571,286
73,1147
1199,176
939,1314
1200,37
1167,1790
1213,152
1516,726
990,1634
1431,694
1673,318
638,1935
957,905
1960,332
893,154
1375,960
678,516
325,67
1557,769
1276,1270
1500,980
1525,1298
106,1589
1954,1859
345,870
918,36
1335,761
1868,1002
1304,1432
882,409
812,814
229,1921
1349,1347
1724,1719
934,123
135,1785
890,669
1999,433
55,312
157,373
658,1170
1219,1162
1259,1713
1726,1220
277,289
45,1713
1609,955
1479,582
605,347
1923,1922
1609,848
1439,1074
1921,1120
660,679
1629,267
1010,571
1725,1784
1666,862
927,1514
763,1479
689,834
1446,966
779,1381
1353,71
1013,490
1230,427
1868,1116
51,1775
1579,1690
1793,952
407,1500
1727,913
1229,1281
1632,639
1475,1426
1629,612
890,1712
179,50
1977,1448
1898,689
1771,1590
487,1819
1895,1407
1440,1407
1907,696
1333,179
1125,976
1247,714
496,406
439,458
741,1714
631,1367
1707,1816
1195,1852
588,1516
101,1124
338,1579
1054,998
